Record,Concept,XPath,Content
100493.xml,First Name,/resource/creators/creator/creatorName,"Junge, Karen"
100493.xml,Middle Name,/resource/creators/creator/creatorName,"Hagedorn, Birgit"
100493.xml,Middle Name,/resource/creators/creator/creatorName,"Sletten, Ronald S"
100493.xml,Middle Name,/resource/creators/creator/creatorName,"Christner, Brent"
100493.xml,Middle Name,/resource/creators/creator/creatorName,"Choquette, Kyla"
100493.xml,Middle Name,/resource/creators/creator/creatorName,"Cameron, Karen"
100493.xml,Middle Name,/resource/creators/creator/creatorName,"Dieser, Markus"
100493.xml,Middle Name,/resource/creators/creator/creatorName,"Junge, Karen"
100493.xml,Last Name,/resource/creators/creator/creatorName,"Hagedorn, Birgit"
100493.xml,Last Name,/resource/creators/creator/creatorName,"Sletten, Ronald S"
100493.xml,Last Name,/resource/creators/creator/creatorName,"Christner, Brent"
100493.xml,Last Name,/resource/creators/creator/creatorName,"Choquette, Kyla"
100493.xml,Last Name,/resource/creators/creator/creatorName,"Cameron, Karen"
100493.xml,Last Name,/resource/creators/creator/creatorName,"Dieser, Markus"
100493.xml,Last Name,/resource/creators/creator/creatorName,"Junge, Karen"
100493.xml,Publication Date,/resource/publicationYear,"2014"
100493.xml,Publisher,/resource/publisher,"Integrated Earth Data Applications (IEDA)"
100493.xml,Resource Version,/resource/version,"1.0"
100493.xml,Resource Identifier,/resource/identifier,"10.1594/IEDA/100493"
100493.xml,Resource Identifier,/resource/alternateIdentifiers/alternateIdentifier,"http://www.earthchem.org/library/browse/view?id=806"
100493.xml,Author / Originator Identifier,/resource/creators/creator/nameIdentifier/@nameIdentifierScheme,"GeoPass"
100493.xml,Bounding Box,/resource/geoLocations/geoLocation/geoLocationPlace,"NW Greenland Ice Sheet, Pituffik"
100493.xml,Contributor Name,/resource/contributors/contributor/contributorName,"EarthChem Library (ECL)"
100493.xml,Resource Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100493.xml,Rights,/resource/rightsList/rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]"
100493.xml,Distribution Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100493.xml,Resource Type,/resource/resourceType/@resourceTypeGeneral,"Dataset"
100493.xml,Spatial Extent,/resource/geoLocations/geoLocation,"76.409 67.85372 76.53328 68.3064"
100493.xml,Spatial Extent,/resource/geoLocations/geoLocation,"NW Greenland Ice Sheet, Pituffik"
100493.xml,Resource Language,/resource/language,"eng"
100493.xml,Contributor Role,/resource/contributors/contributor/@contributorType,"Editor"
100493.xml,Resource Identifier Type,/resource/identifier/@identifierType,"DOI"
100493.xml,Keyword,/resource/subjects/subject,"Chemistry:Fluid"
100494.xml,Resource Title,/resource/titles/title,"Effects of Mineral Spatial Patterns on Magnesite Dissolution Rates"
100494.xml,Resource Creation/Revision Date,/resource/dates/date,"2015-11-15"
100494.xml,Abstract,/resource/descriptions/description,"This data set archives several years data of flow-through column experiments exploring the largely unknown effects of mineral spatial distribution on dissolution rates using columns packed with the same magnesite mass but with different distributions within a quartz matrix. Variables include the spatial distribution of the reactive mineral magnesite, orientation of the magnesite zone to the main flow direction, length scale, flow rates, and size contrast between magnesite and quartz grains. The columns with lengths varying from 5 to 22 cm were flushed with acidic solutions (pH 4.0) at flow velocities varying from 0.015 to 7.2 m/d. The largest rate difference was observed between a Mixed column containing uniformly distributed magnesite and a One-zone column containing magnesite in one cylindrical zone in the center of the column (flow-parallel One-zone column). Breakthrough data show that the zonation in the One-zone columns, especially when the grain sizes of magnesite are smaller than that of the quartz, limits magnesite dissolution by a factor of 1.5 4.0 compared to the Mixed column. The magnitude of the rate difference increases with increasing flow rates. Under low flow rate conditions, the pore fluids reach chemical equilibrium and reaction kinetics does not play an important role. For those conditions, the mineral distribution does not make a difference. Under high flow conditions, however, the effects of the mineral distribution are maximized because column-scale rates exhibit kinetic control due to low residence times. The rate differences between the Mixed and the flow-parallel One-zone cases are much larger than the 14% maximum difference observed between the Mixed column and the flow-perpendicular One-zone column. Thedata set identifies general principles that govern mineral dissolution rates in heterogeneous porous media. It will advance our models of the multi-component geochemical reactions in natural, heterogeneous porous media and will provide valuable insights on the laboratory-field rate discrepancy."
100494.xml,Theme Keyword,/resource/subjects/subject,"Chemistry:Sediment"
100494.xml,Theme Keyword,/resource/subjects/subject,"Kinetics"
100494.xml,Keyword Vocabulary,/resource/subjects/subject/@subjectScheme,"ECL"
100494.xml,Keyword Vocabulary,/resource/subjects/subject/@subjectScheme,"ECL"
100494.xml,Responsible Party Identifier,/resource/contributors/contributor/nameIdentifier,"10.17616/R3V644"
100494.xml,Responsible Party Identifier Type,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,"DOI"
100494.xml,First Name,/resource/creators/creator/creatorName,"Salehikhoo, Fatemeh"
100494.xml,First Name,/resource/creators/creator/creatorName,"Li, Li"
100494.xml,First Name,/resource/creators/creator/creatorName,"Brantley, Susan"
100494.xml,Middle Name,/resource/creators/creator/creatorName,"Salehikhoo, Fatemeh"
100494.xml,Middle Name,/resource/creators/creator/creatorName,"Li, Li"
100494.xml,Middle Name,/resource/creators/creator/creatorName,"Brantley, Susan"
100494.xml,Last Name,/resource/creators/creator/creatorName,"Salehikhoo, Fatemeh"
100494.xml,Last Name,/resource/creators/creator/creatorName,"Li, Li"
100494.xml,Last Name,/resource/creators/creator/creatorName,"Brantley, Susan"
100494.xml,Publication Date,/resource/publicationYear,"2014"
100494.xml,Publisher,/resource/publisher,"Integrated Earth Data Applications (IEDA)"
100494.xml,Resource Version,/resource/version,"1.0"
100494.xml,Resource Identifier,/resource/identifier,"10.1594/IEDA/100494"
100494.xml,Resource Identifier,/resource/alternateIdentifiers/alternateIdentifier,"http://www.earthchem.org/library/browse/view?id=801"
100494.xml,Related Resource Identifier,/resource/relatedIdentifiers/relatedIdentifier,"10.1016/j.gca.2013.01.010"
100494.xml,Author / Originator Identifier,/resource/creators/creator/nameIdentifier/@nameIdentifierScheme,"GeoPass"
100494.xml,Contributor Name,/resource/contributors/contributor/contributorName,"EarthChem Library (ECL)"
100494.xml,Resource Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100494.xml,Rights,/resource/rightsList/rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]"
100494.xml,Distribution Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100494.xml,Resource Type,/resource/resourceType/@resourceTypeGeneral,"Dataset"
100494.xml,Resource Language,/resource/language,"eng"
100494.xml,Contributor Role,/resource/contributors/contributor/@contributorType,"Editor"
100494.xml,Resource Identifier Type,/resource/identifier/@identifierType,"DOI"
100494.xml,Keyword,/resource/subjects/subject,"Chemistry:Sediment"
100494.xml,Keyword,/resource/subjects/subject,"Kinetics"
100495.xml,Resource Title,/resource/titles/title,"Active Fumaroles of Avachinsky and Koryaksky Volcanoes (Kamchatka)"
100495.xml,Resource Creation/Revision Date,/resource/dates/date,"2014-12-15"
100495.xml,Abstract,/resource/descriptions/description,"This is a summary of volcanic gas analyses from Koryaksky and Avachinsky volcanoes from 1961 to 1962. Analyses include gas and vapor condensate samples collected from both of the volcano craters, in addition to surrounding fumaroles on the slopes, samples collected from fumaroles with abundant sulfur deposits, also near the 'bottom' of Avachinsky volcano, (altitude not specified) at active lower elevation fumaroles.Samples were anlayzed for volcanic gases HCl, H2S, CO2, SO2, and others. Vapor condensates were analyzed for major cation and anions, in addition to SO3 (none detected), SO4 and HCO3."
100495.xml,Theme Keyword,/resource/subjects/subject,"Chemistry:Gas"
100495.xml,Keyword Vocabulary,/resource/subjects/subject/@subjectScheme,"ECL"
100495.xml,Responsible Party Identifier,/resource/contributors/contributor/nameIdentifier,"10.17616/R3V644"
100495.xml,Responsible Party Identifier Type,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,"DOI"
100495.xml,First Name,/resource/creators/creator/creatorName,"Kirsanov, I. T."
100495.xml,First Name,/resource/creators/creator/creatorName,"Medvedev, G. G."
100495.xml,First Name,/resource/creators/creator/creatorName,"Serafimova, E. K."
100495.xml,Middle Name,/resource/creators/creator/creatorName,"Kirsanov, I. T."
100495.xml,Middle Name,/resource/creators/creator/creatorName,"Medvedev, G. G."
100495.xml,Middle Name,/resource/creators/creator/creatorName,"Serafimova, E. K."
100495.xml,Last Name,/resource/creators/creator/creatorName,"Kirsanov, I. T."
100495.xml,Last Name,/resource/creators/creator/creatorName,"Medvedev, G. G."
100495.xml,Last Name,/resource/creators/creator/creatorName,"Serafimova, E. K."
100495.xml,Publication Date,/resource/publicationYear,"2014"
100495.xml,Publisher,/resource/publisher,"Integrated Earth Data Applications (IEDA)"
100495.xml,Resource Version,/resource/version,"1.0"
100495.xml,Resource Identifier,/resource/identifier,"10.1594/IEDA/100495"
100495.xml,Resource Identifier,/resource/alternateIdentifiers/alternateIdentifier,"http://www.earthchem.org/library/browse/view?id=807"
100495.xml,Bounding Box,/resource/geoLocations/geoLocation/geoLocationPlace,"Russia, Kamchatka, Avachinsky volcano, Koryaksky volcano"
100495.xml,Contributor Name,/resource/contributors/contributor/contributorName,"EarthChem Library (ECL)"
100495.xml,Resource Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100495.xml,Rights,/resource/rightsList/rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]"
100495.xml,Distribution Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100495.xml,Resource Type,/resource/resourceType/@resourceTypeGeneral,"Dataset"
100495.xml,Spatial Extent,/resource/geoLocations/geoLocation,"53.253753 158.711744 53.320483 158.829369"
100495.xml,Spatial Extent,/resource/geoLocations/geoLocation,"Russia, Kamchatka, Avachinsky volcano, Koryaksky volcano"
100495.xml,Resource Language,/resource/language,"eng"
100495.xml,Contributor Role,/resource/contributors/contributor/@contributorType,"Editor"
100495.xml,Resource Identifier Type,/resource/identifier/@identifierType,"DOI"
100495.xml,Keyword,/resource/subjects/subject,"Chemistry:Gas"
100496.xml,Resource Title,/resource/titles/title,"Vapor Acids Lab- Bezymianny Volcano (Kamchatka)"
100496.xml,Resource Creation/Revision Date,/resource/dates/date,"2014-12-15"
100496.xml,Abstract,/resource/descriptions/description,"This dataset from the USSR Science Academy Volcanology Institute is comprised of volcanic gas, vapor condensate, and hard rock geochemical analyses of the active crater, cone, and fumaroles of Bezymianny volcano; Kamchatka region in Russia from 1956 through 1962. 43 fumarole gases were analyzed for major cations, anions,and acids by the Basharina method, a NaOH-free pre-Giggenbach gas sampling method."
100496.xml,Theme Keyword,/resource/subjects/subject,"Chemistry:Rock"
100496.xml,Theme Keyword,/resource/subjects/subject,"Chemistry:Gas"
100496.xml,Keyword Vocabulary,/resource/subjects/subject/@subjectScheme,"ECL"
100496.xml,Keyword Vocabulary,/resource/subjects/subject/@subjectScheme,"ECL"
100496.xml,Responsible Party Identifier,/resource/contributors/contributor/nameIdentifier,"10.17616/R3V644"
100496.xml,Responsible Party Identifier Type,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,"DOI"
100496.xml,First Name,/resource/creators/creator/creatorName,"Basharina, L. A."
100496.xml,Middle Name,/resource/creators/creator/creatorName,"Basharina, L. A."
100496.xml,Last Name,/resource/creators/creator/creatorName,"Basharina, L. A."
100496.xml,Publication Date,/resource/publicationYear,"2014"
100496.xml,Publisher,/resource/publisher,"Integrated Earth Data Applications (IEDA)"
100496.xml,Resource Version,/resource/version,"1.0"
100496.xml,Resource Identifier,/resource/identifier,"10.1594/IEDA/100496"
100496.xml,Resource Identifier,/resource/alternateIdentifiers/alternateIdentifier,"http://www.earthchem.org/library/browse/view?id=808"
100496.xml,Bounding Box,/resource/geoLocations/geoLocation/geoLocationPlace,"Russia, Kamchatka, Bezymianny volcano, Kluchevevskaya, Kluchevskoy, Kamen"
100496.xml,Contributor Name,/resource/contributors/contributor/contributorName,"EarthChem Library (ECL)"
100496.xml,Resource Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100496.xml,Rights,/resource/rightsList/rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]"
100496.xml,Distribution Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100496.xml,Resource Type,/resource/resourceType/@resourceTypeGeneral,"Dataset"
100496.xml,Spatial Extent,/resource/geoLocations/geoLocation,"55.939947 160.635811 55.959475 160.640744"
100496.xml,Spatial Extent,/resource/geoLocations/geoLocation,"Russia, Kamchatka, Bezymianny volcano, Kluchevevskaya, Kluchevskoy, Kamen"
100496.xml,Resource Language,/resource/language,"eng"
100496.xml,Contributor Role,/resource/contributors/contributor/@contributorType,"Editor"
100496.xml,Resource Identifier Type,/resource/identifier/@identifierType,"DOI"
100496.xml,Keyword,/resource/subjects/subject,"Chemistry:Rock"
100496.xml,Keyword,/resource/subjects/subject,"Chemistry:Gas"
100497.xml,Resource Title,/resource/titles/title,"Volcanic fumarole gas anlayses from Klyuchevskoy, Tolbachik and Shiveluch Volcanoes (Kamchatka, Russia), 1936-1937"
100497.xml,Resource Creation/Revision Date,/resource/dates/date,"2014-12-15"
100497.xml,Abstract,/resource/descriptions/description,"This dataset is a summary of fumarole gas analyses from Kamachatka region volcanoes from 1936-1937 by I.Z. Ivanov. These analyses were presented in the USSR Science Academy Kamchatka Volcanology Station Bulletin, No. 4. Gas samples are from fumaroles from Klyuchevskoy volcano (Tuyla and Kirgurich craters) and Shiveluch volcano, with one analysis from Tolvachik volcano. Shiveluch samples were collected by Ivanov and geologist A.A. Menyalnov."
100497.xml,Theme Keyword,/resource/subjects/subject,"Chemistry:Gas"
100497.xml,Keyword Vocabulary,/resource/subjects/subject/@subjectScheme,"ECL"
100497.xml,Responsible Party Identifier,/resource/contributors/contributor/nameIdentifier,"10.17616/R3V644"
100497.xml,Responsible Party Identifier Type,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,"DOI"
100497.xml,First Name,/resource/creators/creator/creatorName,"Ivanov, I. Z."
100497.xml,Middle Name,/resource/creators/creator/creatorName,"Ivanov, I. Z."
100497.xml,Last Name,/resource/creators/creator/creatorName,"Ivanov, I. Z."
100497.xml,Publication Date,/resource/publicationYear,"2014"
100497.xml,Publisher,/resource/publisher,"Integrated Earth Data Applications (IEDA)"
100497.xml,Resource Version,/resource/version,"1.0"
100497.xml,Resource Identifier,/resource/identifier,"10.1594/IEDA/100497"
100497.xml,Resource Identifier,/resource/alternateIdentifiers/alternateIdentifier,"http://www.earthchem.org/library/browse/view?id=809"
100497.xml,Bounding Box,/resource/geoLocations/geoLocation/geoLocationPlace,"Russia, Kamchatka, Klyuchevskoy, Klyuchevskaya, Klyuchev Crater, Tolbachik Volcano, Shiveluch Volcano, Kirgurich Volcano"
100497.xml,Contributor Name,/resource/contributors/contributor/contributorName,"EarthChem Library (ECL)"
100497.xml,Resource Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100497.xml,Rights,/resource/rightsList/rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]"
100497.xml,Distribution Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100497.xml,Resource Type,/resource/resourceType/@resourceTypeGeneral,"Dataset"
100497.xml,Spatial Extent,/resource/geoLocations/geoLocation,"Russia, Kamchatka, Klyuchevskoy, Klyuchevskaya, Klyuchev Crater, Tolbachik Volcano, Shiveluch Volcano, Kirgurich Volcano"
100497.xml,Resource Language,/resource/language,"eng"
100497.xml,Contributor Role,/resource/contributors/contributor/@contributorType,"Editor"
100497.xml,Resource Identifier Type,/resource/identifier/@identifierType,"DOI"
100497.xml,Keyword,/resource/subjects/subject,"Chemistry:Gas"
100498.xml,Resource Title,/resource/titles/title,"Summary of gas and sublimates analyses from Klyuchevskoy group volcanoes in 1939"
100498.xml,Resource Creation/Revision Date,/resource/dates/date,"2014-12-15"
100498.xml,Abstract,/resource/descriptions/description,"This is a brief summary of gas analyses by I.Z. Ivanov of Kamchatka region volcanoes from 1939. Gas analyses were taken from four Klyuchevskoy volcano subsidiary craters: Tuyla, Biloikai, Tiranis and Kirgurich. Chemical composition of the gas analyses for 1939 for each volcano are presented as minimum and maximum values. Gas sublimates are reported simply as detects (DT)."
100498.xml,Theme Keyword,/resource/subjects/subject,"Chemistry:Gas"
100498.xml,Keyword Vocabulary,/resource/subjects/subject/@subjectScheme,"ECL"
100498.xml,Responsible Party Identifier,/resource/contributors/contributor/nameIdentifier,"10.17616/R3V644"
100498.xml,Responsible Party Identifier Type,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,"DOI"
100498.xml,First Name,/resource/creators/creator/creatorName,"Ivanov, I. Z."
100498.xml,Middle Name,/resource/creators/creator/creatorName,"Ivanov, I. Z."
100498.xml,Last Name,/resource/creators/creator/creatorName,"Ivanov, I. Z."
100498.xml,Publication Date,/resource/publicationYear,"2014"
100498.xml,Publisher,/resource/publisher,"Integrated Earth Data Applications (IEDA)"
100498.xml,Resource Version,/resource/version,"1.0"
100498.xml,Resource Identifier,/resource/identifier,"10.1594/IEDA/100498"
100498.xml,Resource Identifier,/resource/alternateIdentifiers/alternateIdentifier,"http://www.earthchem.org/library/browse/view?id=810"
100498.xml,Bounding Box,/resource/geoLocations/geoLocation/geoLocationPlace,"Russia, Kamchatka, Klyuchevskaya, Klyuchev, Klyuchevskoy, Tiranis Crater, Tiranis Crater, Biloikai Crater, Kirgurich Volcano"
100498.xml,Contributor Name,/resource/contributors/contributor/contributorName,"EarthChem Library (ECL)"
100498.xml,Resource Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100498.xml,Rights,/resource/rightsList/rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]"
100498.xml,Distribution Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100498.xml,Resource Type,/resource/resourceType/@resourceTypeGeneral,"Dataset"
100498.xml,Spatial Extent,/resource/geoLocations/geoLocation,"56.057094 160.639006 56.057094 160.639006"
100498.xml,Spatial Extent,/resource/geoLocations/geoLocation,"Russia, Kamchatka, Klyuchevskaya, Klyuchev, Klyuchevskoy, Tiranis Crater, Tiranis Crater, Biloikai Crater, Kirgurich Volcano"
100498.xml,Resource Language,/resource/language,"eng"
100498.xml,Contributor Role,/resource/contributors/contributor/@contributorType,"Editor"
100498.xml,Resource Identifier Type,/resource/identifier/@identifierType,"DOI"
100498.xml,Keyword,/resource/subjects/subject,"Chemistry:Gas"
100499.xml,Resource Title,/resource/titles/title,"Summary of gas analyses and elemental spectral analyses of sublimates from Biloikai crater, a subsidiary volcano of Klyuchevskoy (Kamchatka, Russia), 1938-1939"
100499.xml,Resource Creation/Revision Date,/resource/dates/date,"2014-12-15"
100499.xml,Abstract,/resource/descriptions/description,"This is a summary of geochemical analyses of fumarole gases and rendered gas by-products from lavaflows from Biloikai crater, a subsidiary crater of Klyuchevskvoy, by CI. Naboko of Kamachatka Volcanology Station 1938-1939. Spectral analyses of rendered gas by-products from a lava flow from Biloikai crater are non-quantitative and reported as detects only. Fumarole gas analyses are also from Biloikai crater and consist of H2O and HCl only."
100499.xml,Theme Keyword,/resource/subjects/subject,"Chemistry:Rock"
100499.xml,Theme Keyword,/resource/subjects/subject,"Chemistry:Gas"
100499.xml,Keyword Vocabulary,/resource/subjects/subject/@subjectScheme,"ECL"
100499.xml,Keyword Vocabulary,/resource/subjects/subject/@subjectScheme,"ECL"
100499.xml,Responsible Party Identifier,/resource/contributors/contributor/nameIdentifier,"10.17616/R3V644"
100499.xml,Responsible Party Identifier Type,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,"DOI"
100499.xml,First Name,/resource/creators/creator/creatorName,"Naboko, C. I."
100499.xml,Middle Name,/resource/creators/creator/creatorName,"Naboko, C. I."
100499.xml,Last Name,/resource/creators/creator/creatorName,"Naboko, C. I."
100499.xml,Publication Date,/resource/publicationYear,"2014"
100499.xml,Publisher,/resource/publisher,"Integrated Earth Data Applications (IEDA)"
100499.xml,Resource Version,/resource/version,"1.0"
100499.xml,Resource Identifier,/resource/identifier,"10.1594/IEDA/100499"
100499.xml,Resource Identifier,/resource/alternateIdentifiers/alternateIdentifier,"http://www.earthchem.org/library/browse/view?id=811"
100499.xml,Bounding Box,/resource/geoLocations/geoLocation/geoLocationPlace,"Russia, Kamchatka, Klyuchevskaya, Klyuchev, Klyuchevskoy, Biloikai Crater"
100499.xml,Contributor Name,/resource/contributors/contributor/contributorName,"EarthChem Library (ECL)"
100499.xml,Resource Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100499.xml,Rights,/resource/rightsList/rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]"
100499.xml,Distribution Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100499.xml,Resource Type,/resource/resourceType/@resourceTypeGeneral,"Dataset"
100499.xml,Spatial Extent,/resource/geoLocations/geoLocation,"56.057094 160.639006 56.057094 160.639006"
100499.xml,Spatial Extent,/resource/geoLocations/geoLocation,"Russia, Kamchatka, Klyuchevskaya, Klyuchev, Klyuchevskoy, Biloikai Crater"
100499.xml,Resource Language,/resource/language,"eng"
100499.xml,Contributor Role,/resource/contributors/contributor/@contributorType,"Editor"
100499.xml,Resource Identifier Type,/resource/identifier/@identifierType,"DOI"
100499.xml,Keyword,/resource/subjects/subject,"Chemistry:Rock"
100499.xml,Keyword,/resource/subjects/subject,"Chemistry:Gas"
100500.xml,Resource Title,/resource/titles/title,"Eruptive Products of Klyuchevskoy (and Kamchatka Region) Volcano(es) from 1937-1938, Russia"
100500.xml,Resource Creation/Revision Date,/resource/dates/date,"2014-12-15"
100500.xml,Abstract,/resource/descriptions/description,"This dataset is a summary of fumarole gas analyses from Kamchatka region volcanoes from 1937-1938. Analyses of trace elements and trace compounds are without quantitative analyses and reported as detects only. Fumarole gas samples are from Klyuchevskoy craters, in addition to one sample from: Tolbachik, Shiveluch, and Avachinsky volcanoes."
100500.xml,Theme Keyword,/resource/subjects/subject,"Chemistry:Gas"
100500.xml,Keyword Vocabulary,/resource/subjects/subject/@subjectScheme,"ECL"
