Record,Concept,XPath,Content
100492.xml,Resource Title,/resource/titles/title,"Geochemical data of meltwater from the Akuliarusiarsuuo Kuua SW Greenland"
100492.xml,Resource Creation/Revision Date,/resource/dates/date,"2014-11-15"
100492.xml,Abstract,/resource/descriptions/description,"Chemical Composition of supraglacial and subglacial meltwater was collected along the Akuliarusiarsuuo Kuua in west Greenland, Kangerlussuaq from May to September 2012. Major and trace elements were measured to identify weathering reactions and total solute composition."
100492.xml,Theme Keyword,/resource/subjects/subject,"Chemistry:Fluid"
100492.xml,Keyword Vocabulary,/resource/subjects/subject/@subjectScheme,"ECL"
100492.xml,Responsible Party Identifier,/resource/contributors/contributor/nameIdentifier,"10.17616/R3V644"
100492.xml,Responsible Party Identifier Type,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,"DOI"
100492.xml,First Name,/resource/creators/creator/creatorName,"Hagedorn, Birgit"
100492.xml,First Name,/resource/creators/creator/creatorName,"Sletten, Ronald S"
100492.xml,First Name,/resource/creators/creator/creatorName,"Christner, Brent"
100492.xml,First Name,/resource/creators/creator/creatorName,"Junge, Karen"
100492.xml,First Name,/resource/creators/creator/creatorName,"Choquette, Kyla"
100492.xml,First Name,/resource/creators/creator/creatorName,"Dieser, Markus"
100492.xml,First Name,/resource/creators/creator/creatorName,"Cameron, Karen"
100492.xml,Middle Name,/resource/creators/creator/creatorName,"Hagedorn, Birgit"
100492.xml,Middle Name,/resource/creators/creator/creatorName,"Sletten, Ronald S"
100492.xml,Middle Name,/resource/creators/creator/creatorName,"Christner, Brent"
100492.xml,Middle Name,/resource/creators/creator/creatorName,"Junge, Karen"
100492.xml,Middle Name,/resource/creators/creator/creatorName,"Choquette, Kyla"
100492.xml,Middle Name,/resource/creators/creator/creatorName,"Dieser, Markus"
100492.xml,Middle Name,/resource/creators/creator/creatorName,"Cameron, Karen"
100492.xml,Last Name,/resource/creators/creator/creatorName,"Hagedorn, Birgit"
100492.xml,Last Name,/resource/creators/creator/creatorName,"Sletten, Ronald S"
100492.xml,Last Name,/resource/creators/creator/creatorName,"Christner, Brent"
100492.xml,Last Name,/resource/creators/creator/creatorName,"Junge, Karen"
100492.xml,Last Name,/resource/creators/creator/creatorName,"Choquette, Kyla"
100492.xml,Last Name,/resource/creators/creator/creatorName,"Dieser, Markus"
100492.xml,Last Name,/resource/creators/creator/creatorName,"Cameron, Karen"
100492.xml,Publication Date,/resource/publicationYear,"2014"
100492.xml,Publisher,/resource/publisher,"Integrated Earth Data Applications (IEDA)"
100492.xml,Resource Version,/resource/version,"1.0"
100492.xml,Resource Identifier,/resource/identifier,"10.1594/IEDA/100492"
100492.xml,Resource Identifier,/resource/alternateIdentifiers/alternateIdentifier,"http://www.earthchem.org/library/browse/view?id=805"
100492.xml,Author / Originator Identifier,/resource/creators/creator/nameIdentifier/@nameIdentifierScheme,"GeoPass"
100492.xml,Bounding Box,/resource/geoLocations/geoLocation/geoLocationPlace,"West Greenland Ice Sheet"
100492.xml,Contributor Name,/resource/contributors/contributor/contributorName,"EarthChem Library (ECL)"
100492.xml,Resource Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100492.xml,Rights,/resource/rightsList/rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]"
100492.xml,Distribution Format,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100492.xml,Resource Type,/resource/resourceType/@resourceTypeGeneral,"Dataset"
100492.xml,Spatial Extent,/resource/geoLocations/geoLocation,"67.00948 -50.68857 67.23456 -48.12486"
100492.xml,Spatial Extent,/resource/geoLocations/geoLocation,"West Greenland Ice Sheet"
100492.xml,Resource Language,/resource/language,"eng"
100492.xml,Contributor Role,/resource/contributors/contributor/@contributorType,"Editor"
100492.xml,Resource Identifier Type,/resource/identifier/@identifierType,"DOI"
100492.xml,Keyword,/resource/subjects/subject,"Chemistry:Fluid"
100493.xml,Resource Title,/resource/titles/title,"Geochemical analyses of meltwater from Pituffik, NW Greenland"
100493.xml,Resource Creation/Revision Date,/resource/dates/date,"2014-11-15"
100493.xml,Abstract,/resource/descriptions/description,"Meltwater from two rivers of Pituffik NW Greenland Ice sheet was analyzed for major and trace elements and stable isotopes. The data were collected together with microbiological data to determine weathering fluxes and microorganisms that may contribute to weathering in this northern glacial environment."
100493.xml,Theme Keyword,/resource/subjects/subject,"Chemistry:Fluid"
100493.xml,Keyword Vocabulary,/resource/subjects/subject/@subjectScheme,"ECL"
100493.xml,Responsible Party Identifier,/resource/contributors/contributor/nameIdentifier,"10.17616/R3V644"
100493.xml,Responsible Party Identifier Type,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,"DOI"
100493.xml,First Name,/resource/creators/creator/creatorName,"Hagedorn, Birgit"
100493.xml,First Name,/resource/creators/creator/creatorName,"Sletten, Ronald S"
100493.xml,First Name,/resource/creators/creator/creatorName,"Christner, Brent"
100493.xml,First Name,/resource/creators/creator/creatorName,"Choquette, Kyla"
100493.xml,First Name,/resource/creators/creator/creatorName,"Cameron, Karen"
100493.xml,First Name,/resource/creators/creator/creatorName,"Dieser, Markus"
