Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,GeoTraces_ISO,117,117,1.00,100.00%
Abstract,GeoTraces_ISO,117,117,1.00,100.00%
Acknowledgement,GeoTraces_ISO,191,115,1.63,98.29%
Address,GeoTraces_ISO,592,117,5.06,100.00%
AssociatedDIFs,GeoTraces_ISO,261,117,2.23,100.00%
Association,GeoTraces_ISO,261,117,2.23,100.00%
Attribute Definition,GeoTraces_ISO,4132,117,35.32,100.00%
Attribute Label,GeoTraces_ISO,4385,117,37.48,100.00%
Author / Originator,GeoTraces_ISO,125,117,1.07,100.00%
Bounding Box,GeoTraces_ISO,88,88,0.75,75.21%
Cited Resource Identifier,GeoTraces_ISO,2,2,0.02,1.71%
Cited Resource Title,GeoTraces_ISO,1700,117,14.53,100.00%
City,GeoTraces_ISO,591,117,5.05,100.00%
Contact Instructions,GeoTraces_ISO,468,117,4.00,100.00%
Country,GeoTraces_ISO,579,117,4.95,100.00%
Data Quality Scope,GeoTraces_ISO,117,117,1.00,100.00%
DataType,GeoTraces_ISO,1954,117,16.70,100.00%
DimensionsName,GeoTraces_ISO,4385,117,37.48,100.00%
Distribution Contact,GeoTraces_ISO,117,117,1.00,100.00%
Easternmost Longitude,GeoTraces_ISO,88,88,0.75,75.21%
Email,GeoTraces_ISO,589,117,5.03,100.00%
End Time,GeoTraces_ISO,9,9,0.08,7.69%
Enumerated Domain Value Definition Source,GeoTraces_ISO,571,117,4.88,100.00%
Fax,GeoTraces_ISO,468,117,4.00,100.00%
Feature Catalogue Citation,GeoTraces_ISO,234,117,2.00,100.00%
First Name,GeoTraces_ISO,408,117,3.49,100.00%
Geographic Description,GeoTraces_ISO,117,117,1.00,100.00%
Hours of Service,GeoTraces_ISO,468,117,4.00,100.00%
Instrument,GeoTraces_ISO,268,103,2.29,88.03%
Instrument Keyword,GeoTraces_ISO,268,103,2.29,88.03%
Instrument Keyword Vocabulary,GeoTraces_ISO,103,103,0.88,88.03%
Instrument Short Name,GeoTraces_ISO,242,103,2.07,88.03%
Instrument Type,GeoTraces_ISO,242,103,2.07,88.03%
Keyword,GeoTraces_ISO,4230,117,36.15,100.00%
Keyword Type,GeoTraces_ISO,571,117,4.88,100.00%
Keyword Vocabulary,GeoTraces_ISO,571,117,4.88,100.00%
Keyword Vocabulary Citation,GeoTraces_ISO,571,117,4.88,100.00%
Last Name,GeoTraces_ISO,408,117,3.49,100.00%
Metadata Access Constraints,GeoTraces_ISO,117,117,1.00,100.00%
Metadata Association,GeoTraces_ISO,261,117,2.23,100.00%
Metadata Contact,GeoTraces_ISO,117,117,1.00,100.00%
Metadata Dates,GeoTraces_ISO,117,117,1.00,100.00%
Metadata Identifier,GeoTraces_ISO,117,117,1.00,100.00%
Metadata Language,GeoTraces_ISO,117,117,1.00,100.00%
Metadata Modified Date,GeoTraces_ISO,117,117,1.00,100.00%
Metadata Standard Citation,GeoTraces_ISO,117,117,1.00,100.00%
Metadata Standard Version,GeoTraces_ISO,117,117,1.00,100.00%
Middle Name,GeoTraces_ISO,408,117,3.49,100.00%
Name,GeoTraces_ISO,4385,117,37.48,100.00%
Naming Authority,GeoTraces_ISO,2,2,0.02,1.71%
Northernmost Latitude,GeoTraces_ISO,88,88,0.75,75.21%
Online Resource,GeoTraces_ISO,536,117,4.58,100.00%
Online Resource Description,GeoTraces_ISO,419,117,3.58,100.00%
Online Resource Name/Title,GeoTraces_ISO,261,117,2.23,100.00%
Organization Name,GeoTraces_ISO,876,117,7.49,100.00%
Other Citation Details,GeoTraces_ISO,234,117,2.00,100.00%
Paleo Temporal Coverage,GeoTraces_ISO,9,9,0.08,7.69%
Party,GeoTraces_ISO,2296,117,19.62,100.00%
Phone,GeoTraces_ISO,586,117,5.01,100.00%
Place Keyword,GeoTraces_ISO,117,117,1.00,100.00%
Place Keyword Vocabulary,GeoTraces_ISO,117,117,1.00,100.00%
Platform Short Name,GeoTraces_ISO,118,117,1.01,100.00%
Position Name,GeoTraces_ISO,117,117,1.00,100.00%
