Record,XPath,Content
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/dataType,"grid"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/dataType,"platform_observation"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/format,"DSS_SLP_Grid"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/format/@href,"http://dss.ucar.edu/datasets/common/ncar.slp/format.html"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@definition,"latLon"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@numX,"72"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@numY,"16"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@startLon,"0E"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@startLat,"15N"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@endLon,"355E"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@endLat,"90N"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@xRes,"5"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@yRes,"5"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/@ID,"010.1"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/@type,"primary"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/timeStamp/@value,"2015-02-11 21:47:58 -0700"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/continuingUpdate/@value,"yes"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/continuingUpdate/@frequency,"monthly"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/title,"Monthly Northern Hemisphere Sea-Level Pressure Grids, continuing from 1899"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/summary/p,"This dataset contains the longest continuous time series of monthly gridded Northern Hemisphere sea-level pressure data in the DSS archive. The 5-degree latitude/longitude grids, computed from the daily grids in ds010.0, begin in 1899 and cover the Northern Hemisphere from 15N to the North Pole. The dataset continues to be updated regularly as new data become available."
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/summary/p/a,"ds010.0"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/summary/p/a/@href,"http://rda.ucar.edu/datasets/ds010.0/"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/summary/p,"Each monthly grid is a simple average of all available daily grids for the month. Prior to 1955, there is one grid per day. From July 1962 on, there are two grids each day. In the interim period, the number of daily grids varies between one and two."
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/summary/p,"The grids for the period 1899-1977 were inspected and many corrections were made by Kevin Trenberth of the Laboratory of Atmospheric Research at the University of Illinois at Champaign-Urbana, and these grids are included in this dataset. For more information about these corrections, see the July 1980 issue of Monthly Weather Review."
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/summary/p/i,"Monthly Weather Review"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/creator/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/creator/@name,"UCAR/NCAR/CISL/DSS > Data Support Section, Computational and Information Systems Laboratory, National Center for Atmospheric Research, University Corporation for Atmospheric Research"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@name,"UI-UC/ATMO > Department of Atmospheric Sciences, University of Illinois at Urbana-Champaign"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@contact,"Kevin Trenberth"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@citable,"no"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@name,"DOC/NOAA/NWS > National Weather Service, NOAA, U.S. Department of Commerce"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@formerName,"National Weather Bureau/Extended Forecast Division"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@citable,"no"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@name,"MIT/EAPS > Dept. of Earth, Atmospheric, and Planetary Sciences, Massachusetts Institute of Technology"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@citable,"no"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@name,"GB/MOD/MET > Met Office, Ministry of Defence, United Kingdom"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@citable,"no"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@name,"DOC/NOAA/NESDIS/NCDC > National Climatic Data Center, NESDIS, NOAA, U.S. Department of Commerce"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@citable,"no"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@name,"DOD/USNAVY/NRL/MRY > Naval Research Laboratory, Monterey, U.S. Navy, U. S. Department of Defense"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@citable,"no"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@name,"DOC/NOAA/NWS/NCEP > National Centers for Environmental Prediction, National Weather Service, NOAA, U.S. Department of Commerce"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@citable,"no"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@name,"UCAR/NCAR/CISL/DSS > Data Support Section, Computational and Information Systems Laboratory, National Center for Atmospheric Research, University Corporation for Atmospheric Research"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@formerName,"UCAR/NCAR/CISL/DSS > Data Support Section, Scientific Computing Division, National Center for Atmospheric Research, University Corporation for Atmospheric Research"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contributor/@citable,"no"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/variable,"EARTH SCIENCE > Atmosphere > Atmospheric Pressure > Sea Level Pressure"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/variable/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contact,"Bob Dattore"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/platform,"MAPS"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/platform/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/platform,"GRIDDING METHODS"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/platform/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/project,"ESSPO > 433L ESSPO"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/project/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/topic,"climatologyMeteorologyAtmosphere"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/topic/@vocabulary,"ISO"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/reference/@type,"journal"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/reference/authorList,"K.E. Trenberth, and D.A. Paolino"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/reference/year,"1980"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/reference/title,"The Northern Hemisphere sea level pressure data set: Trends, errors, and discontinuities"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/reference/periodical,"Mon. Wea. Rev."
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/reference/periodical/@number,"108"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/reference/periodical/@pages,"855-872"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/relatedDataset/@ID,"010.0"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/publicationDate,"1979-12-13"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/temporal/@start,"1899-01-01 13:00 +0000"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/temporal/@end,"2015-10-31 31:00 +0000"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/temporal/@groupID,"Entire Dataset"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/temporalFrequency/@type,"regular"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/temporalFrequency/@number,"1"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/temporalFrequency/@unit,"month"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/dataType,"grid"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/dataType,"platform_observation"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/format,"DSS_SLP_Grid"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/format/@href,"http://dss.ucar.edu/datasets/common/ncar.slp/format.html"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@definition,"latLon"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@numX,"72"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@numY,"16"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@startLon,"0E"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@startLat,"15N"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@endLon,"355E"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@endLat,"90N"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@xRes,"5"
oai:edu.ucar.rda:ds010.1.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@yRes,"5"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/@ID,"012.0"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/@type,"primary"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/timeStamp/@value,"2007-07-24 15:27:09 -0600"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/continuingUpdate/@value,"no"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/access,"all_free"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/access/@pricingRate,"standard"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/title,"U.S.S.R. Northern Hemisphere Daily Sea-Level Pressure Grids for 1880 to 1979"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/summary/p,"This dataset contains once-daily Northern Hemisphere sea-level pressure data on a 10-degree by 5-degree (36x16) latitude/longitude grid for the period 1880 to 1979."
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/creator/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/creator/@name,"UCAR/NCAR/CISL/DSS > Data Support Section, Scientific Computing Division, National Center for Atmospheric Research, University Corporation for Atmospheric Research"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contributor/@name,"RU/SRIHI/WDC > World Data Center, All-Union Scientific Research Institute for Hydrometeorological Information, Russia"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/variable,"EARTH SCIENCE > Atmosphere > Atmospheric Pressure > Sea Level Pressure"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/variable/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contact,"Bob Dattore"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/platform,"GRIDDING METHODS"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/platform/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/topic,"climatologyMeteorologyAtmosphere"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/topic/@vocabulary,"ISO"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/publicationDate,"1984-10-04"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/temporal/@start,"1880-01"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/temporal/@end,"1979-12"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/temporal/@groupID,"Entire Dataset"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/temporalFrequency/@type,"regular"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/temporalFrequency/@number,"1"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/temporalFrequency/@unit,"day"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/dataType,"grid"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/format,"proprietary_Binary"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/format/@href,"http://dss.ucar.edu/datasets/ds012.0/docs/description.pdf"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/levels/level/@type,"Mean sea level"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/levels/level/@value,"0"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/levels/level/@units,""
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@definition,"latLon"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@numX,"36"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@numY,"16"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@startLon,"0E"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@startLat,"15N"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@endLon,"350E"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@endLat,"90N"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@xRes,"10"
oai:edu.ucar.rda:ds012.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@yRes,"10"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/@ID,"018.0"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/@type,"primary"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/timeStamp/@value,"2014-01-15 20:59:12 -0700"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/continuingUpdate/@value,"no"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/title,"U.S. Navy Northern Hemisphere Daily (and Monthly) Sea-Level Pressure and 500 mb Height Grids for 1946Jan to 1993Dec"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/summary/p,"The gridded daily sea-level pressure analyses in this dataset were produced by the operational models of the U.S. Navy Fleet Numerical Oceanography Center (FNOC). The data are arranged in a 63-by-63 polar-stereographic grid covering the Northern Hemisphere for the period January 1946 to December 1993. DSS has produced a set of monthly grids from the dailies."
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/summary/p,"This dataset also includes daily 500 millibar geopotential height grids for the period January 1946 to December 1955 on the same polar-stereographic grid as the sea-level pressure data."
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/creator/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/creator/@name,"UCAR/NCAR/CISL/DSS > Data Support Section, Computational and Information Systems Laboratory, National Center for Atmospheric Research, University Corporation for Atmospheric Research"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contributor/@name,"DOD/USNAVY/FNMOC > Fleet Numerical Meteorology and Oceanography Center, U.S. Navy, U. S. Department of Defense"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contributor/@citable,"yes"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/variable,"EARTH SCIENCE > Atmosphere > Atmospheric Pressure > Sea Level Pressure"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/variable/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contact,"Bob Dattore"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/platform,"GRIDDING METHODS"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/platform/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/topic,"climatologyMeteorologyAtmosphere"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/topic/@vocabulary,"ISO"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/publicationDate,"1979-12-05"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/temporal/@start,"1946-01-01 12:00 +0000"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/temporal/@end,"1993-12-31 12:00 +0000"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/temporal/@groupID,"Entire Dataset"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/temporalFrequency/@type,"regular"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/temporalFrequency/@number,"12"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/temporalFrequency/@unit,"hour"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/temporalFrequency/@type,"regular"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/temporalFrequency/@number,"2"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/temporalFrequency/@unit,"day"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/dataType,"grid"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/dataType,"platform_observation"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/format,"DSS_Navy_Grid"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/format/@href,"http://dss.ucar.edu/datasets/common/navy/navyformat.html"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@definition,"polarStereographic"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@numX,"63"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@numY,"63"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@startLon,"125W"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@startLat,"19.116S"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@projLon,"80W"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@xRes,"381"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@yRes,"381"
oai:edu.ucar.rda:ds018.0.xml,/dsOverview/contentMetadata/geospatialCoverage/grid/@pole,"N"
oai:edu.ucar.rda:ds018.1.xml,/dsOverview/@ID,"018.1"
oai:edu.ucar.rda:ds018.1.xml,/dsOverview/@type,"primary"
oai:edu.ucar.rda:ds018.1.xml,/dsOverview/timeStamp/@value,"2006-10-20 07:00:15 -0600"
oai:edu.ucar.rda:ds018.1.xml,/dsOverview/continuingUpdate/@value,"no"
oai:edu.ucar.rda:ds018.1.xml,/dsOverview/access,"none_free"
oai:edu.ucar.rda:ds018.1.xml,/dsOverview/access/@pricingRate,"standard"
oai:edu.ucar.rda:ds018.1.xml,/dsOverview/title,"Pazan's U.S. Navy Northern Hemisphere Sea-Level Pressure Grids for 1946Jan to 1978Dec"
oai:edu.ucar.rda:ds018.1.xml,/dsOverview/summary/p,"The daily sea-level pressure grids in this dataset were received from Steve Pazan of the U.S. Navy Fleet Numerical Oceanography Center (FNOC). The 63x63 polar-stereographic grids cover the period January 1946 to December 1978."
oai:edu.ucar.rda:ds018.1.xml,/dsOverview/creator/@vocabulary,"GCMD"
