Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"GCMD",/dsOverview/platform/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"GRIDDING METHODS",/dsOverview/platform,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"GCMD",/dsOverview/platform/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"ESSPO > 433L ESSPO",/dsOverview/project,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"GCMD",/dsOverview/project/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"climatologyMeteorologyAtmosphere",/dsOverview/topic,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"ISO",/dsOverview/topic/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"010.1",/dsOverview/relatedDataset/@ID,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"1979-12-05",/dsOverview/publicationDate,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"1899-01-01 13:00 +0000",/dsOverview/contentMetadata/temporal/@start,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"2015-11-29 12:00 +0000",/dsOverview/contentMetadata/temporal/@end,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"Entire Dataset",/dsOverview/contentMetadata/temporal/@groupID,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"regular",/dsOverview/contentMetadata/temporalFrequency/@type,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"1",/dsOverview/contentMetadata/temporalFrequency/@number,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"day",/dsOverview/contentMetadata/temporalFrequency/@unit,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"grid",/dsOverview/contentMetadata/dataType,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"platform_observation",/dsOverview/contentMetadata/dataType,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"DSS_SLP_Grid",/dsOverview/contentMetadata/format,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"http://dss.ucar.edu/datasets/common/ncar.slp/format.html",/dsOverview/contentMetadata/format/@href,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"latLon",/dsOverview/contentMetadata/geospatialCoverage/grid/@definition,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"72",/dsOverview/contentMetadata/geospatialCoverage/grid/@numX,Undefined
