Concept,Collection,ConceptCount,RecordCount
Author / Originator,2007,522,250
Author / Originator,2008,521,250
Author / Originator,2009,536,250
Author / Originator,2010,393,250
Author / Originator,2011,441,250
Author / Originator,2012,370,250
Author / Originator,2013,387,250
Author / Originator,2014,473,250
Resource Revision Date,2015,1,1
Resource Revision Date,2016,57,10
Resource Revision Date,2005,23,6
Resource Revision Date,2006,25,3
Resource Revision Date,2007,95,23
Resource Revision Date,2008,18,2
Resource Revision Date,2009,5,3
Resource Revision Date,2012,2,2
Resource Revision Date,2013,61,61
Resource Revision Date,2014,53,26
Resource Identifier Type,2015,250,250
Resource Identifier Type,2016,250,250
Resource Identifier Type,2005,248,248
Resource Identifier Type,2006,250,250
Resource Identifier Type,2007,250,250
Resource Identifier Type,2008,250,250
Resource Identifier Type,2009,250,250
Resource Identifier Type,2010,250,250
Resource Identifier Type,2011,250,250
Resource Identifier Type,2012,250,250
Resource Identifier Type,2013,250,250
Resource Identifier Type,2014,250,250
Supplemental Information,2015,2,2
Supplemental Information,2016,49,49
Supplemental Information,2005,12,12
Supplemental Information,2006,73,73
Supplemental Information,2007,9,9
Supplemental Information,2008,13,13
Supplemental Information,2009,8,8
Supplemental Information,2010,2,2
Supplemental Information,2011,52,52
Supplemental Information,2012,9,9
Supplemental Information,2013,13,13
Supplemental Information,2014,71,71
Metadata Modified Date,2015,1,1
Metadata Modified Date,2016,57,10
Metadata Modified Date,2005,23,6
Metadata Modified Date,2006,25,3
Metadata Modified Date,2007,95,23
Metadata Modified Date,2008,18,2
Metadata Modified Date,2009,5,3
Metadata Modified Date,2012,2,2
Metadata Modified Date,2013,61,61
Metadata Modified Date,2014,53,26
Resource Long Name,2015,250,250
Resource Long Name,2016,250,250
Resource Long Name,2005,248,248
Resource Long Name,2006,250,250
Resource Long Name,2007,250,250
Resource Long Name,2008,250,250
Resource Long Name,2009,250,250
Resource Long Name,2010,250,250
Resource Long Name,2011,250,250
Resource Long Name,2012,250,250
Resource Long Name,2013,250,250
Resource Long Name,2014,250,250
Resource Identifier,2015,250,250
Resource Identifier,2016,250,250
Resource Identifier,2005,248,248
Resource Identifier,2006,250,250
Resource Identifier,2007,250,250
Resource Identifier,2008,250,250
Resource Identifier,2009,250,250
Resource Identifier,2010,250,250
Resource Identifier,2011,250,250
Resource Identifier,2012,250,250
Resource Identifier,2013,250,250
Resource Identifier,2014,250,250
Metadata Contact,2015,443,237
Metadata Contact,2016,145,142
Metadata Contact,2005,143,124
Metadata Contact,2006,178,176
Metadata Contact,2007,192,192
Metadata Contact,2008,151,148
Metadata Contact,2009,113,111
Metadata Contact,2010,115,115
Metadata Contact,2011,80,80
Metadata Contact,2012,203,203
Metadata Contact,2013,221,220
Metadata Contact,2014,227,227
Contributor Name,2015,67,25
Contributor Name,2016,468,150
Contributor Name,2005,402,163
Contributor Name,2006,732,121
Contributor Name,2007,409,184
Contributor Name,2008,479,96
Contributor Name,2009,351,114
Contributor Name,2010,198,85
Contributor Name,2011,313,56
Contributor Name,2012,264,102
Contributor Name,2013,647,201
Contributor Name,2014,323,116
Security Constraints,2015,250,250
Security Constraints,2016,250,250
Security Constraints,2005,90,90
Security Constraints,2006,171,171
Security Constraints,2007,172,172
Security Constraints,2008,174,174
Security Constraints,2009,201,201
Security Constraints,2010,182,182
Security Constraints,2011,229,229
Security Constraints,2012,230,230
Security Constraints,2013,250,250
Security Constraints,2014,250,250
Rights,2015,249,249
Rights,2016,243,243
Rights,2005,239,239
Rights,2006,250,250
Rights,2007,248,248
Rights,2008,225,225
Rights,2009,238,238
Rights,2010,176,176
Rights,2011,241,241
Rights,2012,156,156
Rights,2013,250,250
Rights,2014,248,248
Keyword,2015,2935,250
Keyword,2016,2594,250
Keyword,2005,2254,232
Keyword,2006,2110,250
Keyword,2007,2728,249
Keyword,2008,2896,235
Keyword,2009,2667,250
Keyword,2010,1948,243
Keyword,2011,4450,227
Keyword,2012,4268,243
Keyword,2013,2903,250
Keyword,2014,2715,246
Related Resource Citation,2015,21,21
Related Resource Citation,2016,43,43
Related Resource Citation,2005,99,99
Related Resource Citation,2006,63,63
Related Resource Citation,2007,157,157
Related Resource Citation,2008,108,108
Related Resource Citation,2009,135,135
Related Resource Citation,2010,68,68
Related Resource Citation,2011,75,75
Related Resource Citation,2012,99,99
Related Resource Citation,2013,212,212
Related Resource Citation,2014,180,180
Project Name,2015,301,108
Project Name,2016,271,176
Project Name,2005,181,114
Project Name,2006,235,189
Project Name,2007,379,168
Project Name,2008,404,228
Project Name,2009,405,186
Project Name,2010,173,127
Project Name,2011,240,165
Project Name,2012,189,104
Project Name,2013,177,112
Project Name,2014,302,174
Resource Creation/Revision Date,2015,1,1
Resource Creation/Revision Date,2016,57,10
Resource Creation/Revision Date,2005,23,6
Resource Creation/Revision Date,2006,25,3
Resource Creation/Revision Date,2007,95,23
Resource Creation/Revision Date,2008,18,2
Resource Creation/Revision Date,2009,5,3
Resource Creation/Revision Date,2012,2,2
Resource Creation/Revision Date,2013,61,61
Resource Creation/Revision Date,2014,53,26
Start Time,2015,128,128
Start Time,2016,224,224
Start Time,2005,110,110
Start Time,2006,209,208
Start Time,2007,236,236
Start Time,2008,248,248
Start Time,2009,224,224
Start Time,2010,201,201
Start Time,2011,198,196
Start Time,2012,243,243
Start Time,2013,223,223
Start Time,2014,237,237
Resource Contact,2015,507,250
Resource Contact,2016,518,250
Resource Contact,2005,279,248
Resource Contact,2006,323,250
Resource Contact,2007,287,250
Resource Contact,2008,338,250
Resource Contact,2009,298,250
Resource Contact,2010,263,250
Resource Contact,2011,272,250
Resource Contact,2012,295,250
Resource Contact,2013,315,250
Resource Contact,2014,299,250
Resource Use Constraints,2015,249,249
Resource Use Constraints,2016,243,243
Resource Use Constraints,2005,239,239
Resource Use Constraints,2006,250,250
Resource Use Constraints,2007,248,248
Resource Use Constraints,2008,225,225
Resource Use Constraints,2009,238,238
Resource Use Constraints,2010,176,176
Resource Use Constraints,2011,241,241
Resource Use Constraints,2012,156,156
Resource Use Constraints,2013,250,250
Resource Use Constraints,2014,248,248
Northernmost Latitude,2015,265,246
Northernmost Latitude,2016,669,229
Northernmost Latitude,2005,326,240
Northernmost Latitude,2006,337,247
Northernmost Latitude,2007,644,240
Northernmost Latitude,2008,329,229
Northernmost Latitude,2009,729,248
Northernmost Latitude,2010,688,240
Northernmost Latitude,2011,371,211
Northernmost Latitude,2012,370,238
Northernmost Latitude,2013,1170,241
Northernmost Latitude,2014,388,238
Southernmost Latitude,2015,265,246
Southernmost Latitude,2016,669,229
Southernmost Latitude,2005,326,240
Southernmost Latitude,2006,337,247
Southernmost Latitude,2007,644,240
Southernmost Latitude,2008,329,229
Southernmost Latitude,2009,729,248
Southernmost Latitude,2010,688,240
Southernmost Latitude,2011,371,211
Southernmost Latitude,2012,370,238
Southernmost Latitude,2013,1170,241
Southernmost Latitude,2014,388,238
Author / Originator Email Address,2015,237,100
Author / Originator Email Address,2016,97,57
Author / Originator Email Address,2005,125,82
Author / Originator Email Address,2006,110,98
Author / Originator Email Address,2007,257,128
Author / Originator Email Address,2008,266,177
Author / Originator Email Address,2009,110,77
Author / Originator Email Address,2010,136,105
Author / Originator Email Address,2011,45,29
Author / Originator Email Address,2012,81,53
Author / Originator Email Address,2013,109,81
Author / Originator Email Address,2014,146,84
Attribute List,2015,156,130
Attribute List,2016,443,231
Attribute List,2005,194,129
Attribute List,2006,357,193
Attribute List,2007,367,225
Attribute List,2008,227,179
Attribute List,2009,372,205
Attribute List,2010,200,131
Attribute List,2011,258,146
Attribute List,2012,283,217
Attribute List,2013,243,223
Attribute List,2014,287,149
Metadata Access Constraints,2015,250,250
Metadata Access Constraints,2016,250,250
Metadata Access Constraints,2005,90,90
Metadata Access Constraints,2006,171,171
Metadata Access Constraints,2007,172,172
Metadata Access Constraints,2008,174,174
Metadata Access Constraints,2009,201,201
Metadata Access Constraints,2010,182,182
Metadata Access Constraints,2011,229,229
Metadata Access Constraints,2012,230,230
Metadata Access Constraints,2013,250,250
Metadata Access Constraints,2014,250,250
Maintenance,2015,140,140
Maintenance,2016,152,152
Maintenance,2005,164,164
Maintenance,2006,178,178
Maintenance,2007,190,190
Maintenance,2008,132,132
Maintenance,2009,108,108
Maintenance,2010,86,86
Maintenance,2011,166,166
Maintenance,2012,101,101
Maintenance,2013,214,214
Maintenance,2014,222,222
Westernmost Longitude,2015,265,246
Westernmost Longitude,2016,669,229
Westernmost Longitude,2005,326,240
Westernmost Longitude,2006,337,247
Westernmost Longitude,2007,644,240
Westernmost Longitude,2008,329,229
Westernmost Longitude,2009,729,248
Westernmost Longitude,2010,688,240
Westernmost Longitude,2011,371,211
Westernmost Longitude,2012,370,238
Westernmost Longitude,2013,1170,241
Westernmost Longitude,2014,388,238
Taxonomic Extent,2015,10,10
Taxonomic Extent,2016,19,19
Taxonomic Extent,2005,16,16
Taxonomic Extent,2006,12,12
Taxonomic Extent,2007,45,45
Taxonomic Extent,2008,23,23
Taxonomic Extent,2009,33,23
Taxonomic Extent,2010,12,12
Taxonomic Extent,2011,10,10
Taxonomic Extent,2012,50,49
Taxonomic Extent,2013,34,34
Taxonomic Extent,2014,37,37
Spatial Extent,2015,265,246
Spatial Extent,2016,669,229
Spatial Extent,2005,326,240
Spatial Extent,2006,337,247
Spatial Extent,2007,644,240
Spatial Extent,2008,329,229
Spatial Extent,2009,729,248
Spatial Extent,2010,688,240
Spatial Extent,2011,371,211
Spatial Extent,2012,370,238
Spatial Extent,2013,1170,241
Spatial Extent,2014,388,238
Resource Title,2015,250,250
Resource Title,2016,250,250
Resource Title,2005,248,248
Resource Title,2006,250,250
Resource Title,2007,250,250
Resource Title,2008,250,250
Resource Title,2009,250,250
Resource Title,2010,250,250
Resource Title,2011,250,250
Resource Title,2012,250,250
Resource Title,2013,250,250
Resource Title,2014,250,250
Originating Organization,2015,637,231
Originating Organization,2016,239,146
Originating Organization,2005,154,120
Originating Organization,2006,198,129
Originating Organization,2007,305,197
Originating Organization,2008,378,204
Originating Organization,2009,207,184
Originating Organization,2010,251,159
Originating Organization,2011,357,218
Originating Organization,2012,196,133
Originating Organization,2013,355,241
Originating Organization,2014,285,165
Author,2015,637,250
Author,2016,462,250
Author,2005,323,248
Author,2006,392,250
Author,2007,522,250
Author,2008,521,250
Author,2009,536,250
Author,2010,393,250
Author,2011,441,250
Author,2012,370,250
Author,2013,387,250
Author,2014,473,250
Attribute Constraints,2016,42,8
Attribute Constraints,2005,4,2
Attribute Constraints,2006,10,1
Attribute Constraints,2007,63,15
Attribute Constraints,2008,8,2
Attribute Constraints,2011,7,2
Attribute Constraints,2012,7,4
Attribute Constraints,2014,112,7
Abstract,2015,250,250
Abstract,2016,250,250
Abstract,2005,237,237
Abstract,2006,250,250
Abstract,2007,235,235
Abstract,2008,250,250
Abstract,2009,247,247
Abstract,2010,244,244
Abstract,2011,241,241
Abstract,2012,244,244
Abstract,2013,250,250
Abstract,2014,249,249
Resource Distribution,2015,38,38
Resource Distribution,2016,237,237
Resource Distribution,2005,232,232
Resource Distribution,2006,242,242
Resource Distribution,2007,240,240
Resource Distribution,2008,241,241
Resource Distribution,2009,238,238
Resource Distribution,2010,206,206
Resource Distribution,2011,226,225
Resource Distribution,2012,133,133
Resource Distribution,2013,240,240
Resource Distribution,2014,225,225
End Time,2015,128,128
End Time,2016,224,224
End Time,2005,117,117
End Time,2006,209,208
End Time,2007,238,238
End Time,2008,248,248
End Time,2009,224,224
End Time,2010,201,201
End Time,2011,198,196
End Time,2012,243,243
End Time,2013,223,223
End Time,2014,237,237
Responsible Party Identifier Type,2005,2,1
Responsible Party Identifier Type,2007,4,2
Responsible Party Identifier Type,2012,6,3
Resource Update Frequency,2015,121,121
Resource Update Frequency,2016,15,15
Resource Update Frequency,2005,17,17
Resource Update Frequency,2006,7,7
Resource Update Frequency,2007,16,16
Resource Update Frequency,2008,5,5
Resource Update Frequency,2009,13,13
Resource Update Frequency,2011,84,84
Resource Update Frequency,2012,20,20
Resource Update Frequency,2013,4,4
Resource Update Frequency,2014,85,85
Bounding Box,2015,265,246
Bounding Box,2016,669,229
Bounding Box,2005,326,240
Bounding Box,2006,337,247
Bounding Box,2007,644,240
Bounding Box,2008,329,229
Bounding Box,2009,729,248
Bounding Box,2010,688,240
Bounding Box,2011,371,211
Bounding Box,2012,370,238
Bounding Box,2013,1170,241
Bounding Box,2014,388,238
Vertical Minimum,2015,21,10
Vertical Minimum,2016,345,121
Vertical Minimum,2005,124,114
Vertical Minimum,2006,107,100
Vertical Minimum,2007,43,20
Vertical Minimum,2008,34,17
Vertical Minimum,2009,395,104
Vertical Minimum,2010,45,45
Vertical Minimum,2011,174,41
Vertical Minimum,2012,51,20
Vertical Minimum,2013,12,10
Vertical Minimum,2014,31,15
Vertical Maximum,2015,21,10
Vertical Maximum,2016,345,121
Vertical Maximum,2005,124,114
Vertical Maximum,2006,107,100
Vertical Maximum,2007,43,20
Vertical Maximum,2008,34,17
Vertical Maximum,2009,395,104
Vertical Maximum,2010,45,45
Vertical Maximum,2011,174,41
Vertical Maximum,2012,51,20
Vertical Maximum,2013,12,10
Vertical Maximum,2014,31,15
Distribution Format,2015,156,130
Distribution Format,2016,443,231
Distribution Format,2005,192,128
Distribution Format,2006,348,190
Distribution Format,2007,330,219
Distribution Format,2008,176,154
Distribution Format,2009,368,205
Distribution Format,2010,194,125
Distribution Format,2011,252,140
Distribution Format,2012,283,217
Distribution Format,2013,243,223
Distribution Format,2014,287,149
Theme Keyword,2015,2935,250
Theme Keyword,2016,2594,250
Theme Keyword,2005,2254,232
Theme Keyword,2006,2110,250
Theme Keyword,2007,2728,249
Theme Keyword,2008,2896,235
Theme Keyword,2009,2667,250
Theme Keyword,2010,1948,243
Theme Keyword,2011,4450,227
Theme Keyword,2012,4268,243
Theme Keyword,2013,2903,250
Theme Keyword,2014,2715,246
Organization Name,2015,1700,250
Organization Name,2016,949,250
Organization Name,2005,669,234
Organization Name,2006,1096,247
Organization Name,2007,957,221
Organization Name,2008,1221,225
Organization Name,2009,842,249
Organization Name,2010,746,250
Organization Name,2011,962,245
Organization Name,2012,807,248
Organization Name,2013,1281,250
Organization Name,2014,997,250
Instrument,2015,62,10
Instrument,2016,72,11
Instrument,2005,183,37
Instrument,2006,190,58
Instrument,2007,191,27
Instrument,2008,287,67
Instrument,2009,345,56
Instrument,2010,130,15
Instrument,2011,149,32
Instrument,2012,63,23
Instrument,2013,464,65
Instrument,2014,163,44
Resource Format,2015,156,130
Resource Format,2016,443,231
Resource Format,2005,192,128
Resource Format,2006,348,190
Resource Format,2007,330,219
Resource Format,2008,176,154
Resource Format,2009,368,205
Resource Format,2010,194,125
Resource Format,2011,252,140
Resource Format,2012,283,217
Resource Format,2013,243,223
Resource Format,2014,287,149
Purpose,2016,17,17
Purpose,2005,9,9
Purpose,2006,14,14
Purpose,2007,11,11
Purpose,2008,2,2
Purpose,2009,2,2
Purpose,2011,78,78
Purpose,2013,5,5
Purpose,2014,63,63
Place Keyword,2015,443,215
Place Keyword,2016,184,49
Place Keyword,2005,105,31
Place Keyword,2006,180,99
Place Keyword,2007,132,37
Place Keyword,2008,83,28
Place Keyword,2009,53,42
Place Keyword,2010,127,59
Place Keyword,2011,453,105
Place Keyword,2012,97,33
Place Keyword,2013,188,36
Place Keyword,2014,465,100
Entity Type Definition,2015,155,129
Entity Type Definition,2016,436,224
Entity Type Definition,2005,170,109
Entity Type Definition,2006,244,135
Entity Type Definition,2007,335,215
Entity Type Definition,2008,221,174
Entity Type Definition,2009,360,203
Entity Type Definition,2010,162,93
Entity Type Definition,2011,221,116
Entity Type Definition,2012,185,119
Entity Type Definition,2013,236,216
Entity Type Definition,2014,281,147
Project Description,2015,21,21
Project Description,2016,43,43
Project Description,2005,99,99
Project Description,2006,63,63
Project Description,2007,157,157
Project Description,2008,108,108
Project Description,2009,135,135
Project Description,2010,68,68
Project Description,2011,75,75
Project Description,2012,99,99
Project Description,2013,212,212
Project Description,2014,180,180
Publisher URL,2015,219,219
Publisher URL,2016,48,48
Publisher URL,2005,153,153
Publisher URL,2006,165,165
Publisher URL,2007,115,115
Publisher URL,2008,93,93
Publisher URL,2009,65,65
Publisher URL,2010,58,58
Publisher URL,2011,42,42
Publisher URL,2012,64,64
Publisher URL,2013,201,201
Publisher URL,2014,149,149
Publisher E-Mail,2015,219,219
Publisher E-Mail,2016,48,48
Publisher E-Mail,2005,153,153
Publisher E-Mail,2006,165,165
Publisher E-Mail,2007,115,115
Publisher E-Mail,2008,93,93
Publisher E-Mail,2009,65,65
Publisher E-Mail,2010,58,58
Publisher E-Mail,2011,42,42
Publisher E-Mail,2012,64,64
Publisher E-Mail,2013,201,201
Publisher E-Mail,2014,149,149
Resource Access Constraints,2015,250,250
Resource Access Constraints,2016,250,250
Resource Access Constraints,2005,90,90
Resource Access Constraints,2006,171,171
Resource Access Constraints,2007,172,172
Resource Access Constraints,2008,174,174
Resource Access Constraints,2009,201,201
Resource Access Constraints,2010,182,182
Resource Access Constraints,2011,229,229
Resource Access Constraints,2012,230,230
Resource Access Constraints,2013,250,250
Resource Access Constraints,2014,250,250
Easternmost Longitude,2015,265,246
Easternmost Longitude,2016,669,229
Easternmost Longitude,2005,326,240
Easternmost Longitude,2006,337,247
Easternmost Longitude,2007,644,240
Easternmost Longitude,2008,329,229
Easternmost Longitude,2009,729,248
Easternmost Longitude,2010,688,240
Easternmost Longitude,2011,371,211
Easternmost Longitude,2012,370,238
Easternmost Longitude,2013,1170,241
Easternmost Longitude,2014,388,238
Attribute Definition,2015,2404,130
Attribute Definition,2016,7598,231
Attribute Definition,2005,2819,129
Attribute Definition,2006,4506,193
Attribute Definition,2007,6757,225
Attribute Definition,2008,3332,179
Attribute Definition,2009,5751,205
Attribute Definition,2010,2529,131
Attribute Definition,2011,3699,146
Attribute Definition,2012,3415,217
Attribute Definition,2013,3396,223
Attribute Definition,2014,6985,149
Parent Identifier,2015,3,3
Parent Identifier,2016,2,2
Parent Identifier,2005,16,16
Parent Identifier,2006,50,50
Parent Identifier,2007,12,12
Parent Identifier,2008,53,53
Parent Identifier,2009,24,24
Parent Identifier,2010,12,12
Parent Identifier,2011,21,21
Parent Identifier,2012,24,24
Parent Identifier,2013,64,64
Parent Identifier,2014,16,16
Resource Quality Description,2015,12,10
Resource Quality Description,2016,33,22
Resource Quality Description,2005,38,38
Resource Quality Description,2006,52,52
Resource Quality Description,2007,28,28
Resource Quality Description,2008,68,68
Resource Quality Description,2009,20,20
Resource Quality Description,2010,12,12
Resource Quality Description,2011,50,50
Resource Quality Description,2012,22,22
Resource Quality Description,2013,73,73
Resource Quality Description,2014,40,34
Resource Lineage,2015,249,249
Resource Lineage,2016,232,232
Resource Lineage,2005,196,196
Resource Lineage,2006,203,203
Resource Lineage,2007,209,209
Resource Lineage,2008,163,163
Resource Lineage,2009,213,213
Resource Lineage,2010,129,129
Resource Lineage,2011,202,202
Resource Lineage,2012,220,220
Resource Lineage,2013,244,244
Resource Lineage,2014,198,198
Author / Originator World Wide Web Address,2015,301,108
Author / Originator World Wide Web Address,2016,271,176
Author / Originator World Wide Web Address,2005,181,114
Author / Originator World Wide Web Address,2006,235,189
Author / Originator World Wide Web Address,2007,379,168
Author / Originator World Wide Web Address,2008,404,228
Author / Originator World Wide Web Address,2009,405,186
Author / Originator World Wide Web Address,2010,173,127
Author / Originator World Wide Web Address,2011,240,165
Author / Originator World Wide Web Address,2012,189,104
Author / Originator World Wide Web Address,2013,177,112
Author / Originator World Wide Web Address,2014,302,174
Related Resource Identifier,2015,3,3
Related Resource Identifier,2016,2,2
Related Resource Identifier,2005,16,16
Related Resource Identifier,2006,50,50
Related Resource Identifier,2007,12,12
Related Resource Identifier,2008,53,53
Related Resource Identifier,2009,24,24
Related Resource Identifier,2010,12,12
Related Resource Identifier,2011,21,21
Related Resource Identifier,2012,24,24
Related Resource Identifier,2013,64,64
Related Resource Identifier,2014,16,16
Keyword Type,2015,2668,222
Keyword Type,2016,1002,81
Keyword Type,2005,718,48
Keyword Type,2006,898,147
Keyword Type,2007,1198,47
Keyword Type,2008,1375,102
Keyword Type,2009,1339,110
Keyword Type,2010,796,153
Keyword Type,2011,3309,129
Keyword Type,2012,3288,148
Keyword Type,2013,628,46
Keyword Type,2014,1712,115
Publisher,2015,241,241
Publisher,2016,172,172
Publisher,2005,207,207
Publisher,2006,205,205
Publisher,2007,213,213
Publisher,2008,151,151
Publisher,2009,231,231
Publisher,2010,147,147
Publisher,2011,86,86
Publisher,2012,130,130
Publisher,2013,227,227
Publisher,2014,245,245
Publication Date,2015,248,248
Publication Date,2016,249,249
Publication Date,2005,127,127
Publication Date,2006,194,194
Publication Date,2007,208,208
Publication Date,2008,220,220
Publication Date,2009,233,233
Publication Date,2010,242,242
Publication Date,2011,221,221
Publication Date,2012,233,233
Publication Date,2013,247,247
Publication Date,2014,246,246
Author / Originator Identifier Type,2011,5,1
Author / Originator Identifier Type,2012,5,5
Author / Originator Identifier Type,2013,1,1
Vertical Resolution,2015,21,10
Vertical Resolution,2016,345,121
Vertical Resolution,2005,124,114
Vertical Resolution,2006,107,100
Vertical Resolution,2007,43,20
Vertical Resolution,2008,34,17
Vertical Resolution,2009,395,104
Vertical Resolution,2010,45,45
Vertical Resolution,2011,174,41
Vertical Resolution,2012,51,20
Vertical Resolution,2013,12,10
Vertical Resolution,2014,31,15
Entity and Attribute Information,2015,155,129
Entity and Attribute Information,2016,436,224
Entity and Attribute Information,2005,170,109
Entity and Attribute Information,2006,244,135
Entity and Attribute Information,2007,335,215
Entity and Attribute Information,2008,221,174
Entity and Attribute Information,2009,360,203
Entity and Attribute Information,2010,162,93
Entity and Attribute Information,2011,221,116
Entity and Attribute Information,2012,185,119
Entity and Attribute Information,2013,236,216
Entity and Attribute Information,2014,281,147
Keyword Vocabulary,2015,74,30
Keyword Vocabulary,2016,377,208
Keyword Vocabulary,2005,151,69
Keyword Vocabulary,2006,156,56
Keyword Vocabulary,2007,258,116
Keyword Vocabulary,2008,207,97
Keyword Vocabulary,2009,469,182
Keyword Vocabulary,2010,73,43
Keyword Vocabulary,2011,466,168
Keyword Vocabulary,2012,240,85
Keyword Vocabulary,2013,185,122
Keyword Vocabulary,2014,330,168
