Concept,Collection,ConceptCount,RecordCount
Number of Records,2015,250,0
Number of Records,2016,250,0
Number of Records,2005,248,0
Number of Records,2006,250,0
Number of Records,2007,250,0
Number of Records,2008,250,0
Number of Records,2009,250,0
Number of Records,2010,250,0
Number of Records,2011,250,0
Number of Records,2012,250,0
Number of Records,2013,250,0
Number of Records,2014,250,0
Paleo Temporal Coverage,2005,7,7
Paleo Temporal Coverage,2007,2,2
Author / Originator Identifier,2015,136,135
Author / Originator Identifier,2016,75,46
Author / Originator Identifier,2005,61,53
Author / Originator Identifier,2006,90,49
Author / Originator Identifier,2007,137,95
Author / Originator Identifier,2008,163,92
Author / Originator Identifier,2009,285,99
Author / Originator Identifier,2010,215,119
Author / Originator Identifier,2011,25,12
Author / Originator Identifier,2012,114,80
Author / Originator Identifier,2013,199,129
Author / Originator Identifier,2014,184,83
Contributor Role,2015,67,25
Contributor Role,2016,468,150
Contributor Role,2005,402,163
Contributor Role,2006,732,121
Contributor Role,2007,409,184
Contributor Role,2008,479,96
Contributor Role,2009,351,114
Contributor Role,2010,198,85
Contributor Role,2011,313,56
Contributor Role,2012,264,102
Contributor Role,2013,647,201
Contributor Role,2014,323,116
Resource on-line Link,2015,38,38
Resource on-line Link,2016,237,237
Resource on-line Link,2005,232,232
Resource on-line Link,2006,232,232
Resource on-line Link,2007,240,240
Resource on-line Link,2008,241,241
Resource on-line Link,2009,238,238
Resource on-line Link,2010,206,206
Resource on-line Link,2011,225,225
Resource on-line Link,2012,133,133
Resource on-line Link,2013,240,240
Resource on-line Link,2014,222,222
Metadata Use Constraints,2015,250,250
Metadata Use Constraints,2016,250,250
Metadata Use Constraints,2005,90,90
Metadata Use Constraints,2006,171,171
Metadata Use Constraints,2007,172,172
Metadata Use Constraints,2008,174,174
Metadata Use Constraints,2009,201,201
Metadata Use Constraints,2010,182,182
Metadata Use Constraints,2011,229,229
Metadata Use Constraints,2012,230,230
Metadata Use Constraints,2013,250,250
Metadata Use Constraints,2014,250,250
Responsible Party Identifier,2016,10,5
Responsible Party Identifier,2005,2,1
Responsible Party Identifier,2007,32,15
Responsible Party Identifier,2009,106,38
Responsible Party Identifier,2010,8,4
Responsible Party Identifier,2011,6,2
Responsible Party Identifier,2012,10,6
Responsible Party Identifier,2013,2,1
Responsible Party Identifier,2014,8,6
Process Step,2015,249,249
Process Step,2016,232,232
Process Step,2005,196,196
Process Step,2006,203,203
Process Step,2007,209,209
Process Step,2008,163,163
Process Step,2009,213,213
Process Step,2010,129,129
Process Step,2011,202,202
Process Step,2012,220,220
Process Step,2013,244,244
Process Step,2014,198,198
Temporal Extent,2015,249,249
Temporal Extent,2016,228,228
Temporal Extent,2005,233,233
Temporal Extent,2006,252,247
Temporal Extent,2007,247,247
Temporal Extent,2008,250,250
Temporal Extent,2009,224,224
Temporal Extent,2010,201,201
Temporal Extent,2011,229,227
Temporal Extent,2012,248,248
Temporal Extent,2013,247,247
Temporal Extent,2014,255,245
Resource Status,2015,250,250
Resource Status,2016,250,250
Resource Status,2005,90,90
Resource Status,2006,171,171
Resource Status,2007,172,172
Resource Status,2008,174,174
Resource Status,2009,201,201
Resource Status,2010,182,182
Resource Status,2011,229,229
Resource Status,2012,230,230
Resource Status,2013,250,250
Resource Status,2014,250,250
Author / Originator,2015,637,250
Author / Originator,2016,462,250
Author / Originator,2005,323,248
Author / Originator,2006,392,250
