Record,Concept,XPath,Content
01759-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19990810"
01759-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"20020223"
01759-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01760-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19650101"
01760-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19961231"
01760-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01761-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"20030101"
01761-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"20111231"
01761-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01762-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19940524"
01762-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19940919"
01762-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01763-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19950411"
01763-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19951101"
01763-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01764-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19940101"
01764-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19970101"
01764-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01765-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19970801"
01765-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19970831"
01765-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01766-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"20040212"
01766-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"20050512"
01766-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01767-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19900817"
01767-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19901204"
01767-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01768-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19990713"
01768-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"20031101"
01768-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01769-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19860101"
01769-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19951231"
01769-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01770-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19940726"
01770-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19960726"
01770-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01771-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19940721"
01771-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19940808"
01771-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01772-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19730101"
01772-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19731231"
01772-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01773-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19940101"
01773-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19961230"
01773-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01774-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19940601"
01774-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19940831"
01774-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01775-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"19930101"
01775-metadata.xml,End Time,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"19930101"
01775-metadata.xml,Temporal Resolution,/metadata/mercury/Temporal_Resolution,""
01776-metadata.xml,Start Time,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"20020301"
