Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
DAAC,Mercury,daac.ornl.gov_mercury_harvest_1.xml,Unknown,"WOOD, E.F.",/metadata/idinfo/citation/citeinfo/origin,Undefined
DAAC,Mercury,daac.ornl.gov_mercury_harvest_1.xml,Unknown,"15 Minute Stream Flow Data: USGS (FIFE)",/metadata/idinfo/citation/citeinfo/title,Undefined
DAAC,Mercury,daac.ornl.gov_mercury_harvest_1.xml,Unknown,"http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1",/metadata/idinfo/citation/citeinfo/onlink,Undefined
DAAC,Mercury,daac.ornl.gov_mercury_harvest_1.xml,Unknown,"http://daac.ornl.gov/mercury_harvest/1.xml",/metadata/idinfo/citation/citeinfo/onlink,Undefined
DAAC,Mercury,daac.ornl.gov_mercury_harvest_1.xml,Unknown,"http://daac.ornl.gov/mercury_harvest/1.xml",/metadata/idinfo/citation/citeinfo/alt_onlink,Undefined
DAAC,Mercury,daac.ornl.gov_mercury_harvest_1.xml,Unknown,"http://daac.ornl.gov//FIFE/guides/15_min_strm_flow.html",/metadata/idinfo/citation/citeinfo/onlink,Undefined
DAAC,Mercury,daac.ornl.gov_mercury_harvest_1.xml,Unknown,"metadata",/metadata/idinfo/citation/citeinfo/geoform,Undefined
DAAC,Mercury,daac.ornl.gov_mercury_harvest_1.xml,Unknown,"The Fifteen Minute Stream Flow Data from the USGS Data Set contains 15 minute stream flow data from the USGS station located 2.9 miles upstream from the mouth of Kings Creek. The record extends from April 1, 1979 through September 2, 1988. The purpose of this data set was to provide accurate measurements of the stream flow from Kings Creek so that a water budget analysis for the northwest quadrant of the FIFE study area could be performed. The stilling pipe installed at the USGS station operates on the principle that the water level in a standpipe at a specific location within a stream bed can be converted to a volume of water in the stream bed. The tracking of the change in stream height with time then enables the calculation of stream flow.",/metadata/idinfo/descript/abstract,Undefined
DAAC,CSDGM,daac.ornl.gov_mercury_harvest_1.xml,Start Time,"19841225",/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"/metadata/idinfo/timeperd/timeinfo/rngdates/begdate|/metadata/idinfo/timeperd/timeinfo/rngdates/begtime"
DAAC,CSDGM,daac.ornl.gov_mercury_harvest_1.xml,End Time,"19880304",/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"/metadata/idinfo/timeperd/timeinfo/rngdates/enddate|/metadata/idinfo/timeperd/timeinfo/rngdates/endtime"
DAAC,Mercury,daac.ornl.gov_mercury_harvest_1.xml,Unknown,"Complete",/metadata/idinfo/status/progress,Undefined
DAAC,Mercury,daac.ornl.gov_mercury_harvest_1.xml,Unknown,"As appropriate",/metadata/idinfo/status/update,Undefined
DAAC,Mercury,daac.ornl.gov_mercury_harvest_1.xml,Unknown,"-96.6",/metadata/idinfo/spdom/bounding/westbc,Undefined
